ZTF19aazzpje 0.090000 Ia
58675.2981019 1 19.9844 0.227519
58672.3021991 1 19.6714 0.11533
58666.2099884 1 19.1039 0.105804
58660.2043519 1 18.793 0.0911772
58657.2137269 1 18.7165 0.0787899
58655.3129051 1 18.7695 0.139396
58653.2748264 1 19.0281 0.108284
58650.2115394 1 19.5126 0.297495
58647.215463 1 20.0134 0.297156
