ZTF19ablfcjr 0.083100 Ia
58737.3330093 2 19.4206 0.174345
58730.3770833 2 19.532 0.145477
58724.4008449 2 19.3039 0.126338
58719.436713 2 19.068 0.115618
58715.3773843 2 18.8345 0.118533
58710.3813657 2 18.7657 0.144723
58707.4632639 2 18.7191 0.0775214
58700.3990162 2 19.2362 0.0962855
58697.4184491 2 19.8735 0.17783
