ZTF20aamttiw 0.044900 II
58985.4253241 1 20.7192 0.269743
58973.4665625 1 21.0769 0.375509
58970.4507176 1 20.7467 0.213664
58963.5039005 1 20.5571 0.355674
58962.5020602 1 20.6866 0.355956
58914.4649537 1 19.0165 0.106437
58911.5346065 1 19.038 0.105477
58908.5403819 1 19.1862 0.110178
58908.5403819 1 19.1862 0.110178
58904.55625 1 19.2073 0.137961
58898.5644444 1 18.5562 0.075089
58898.5593056 1 18.5532 0.080667
58894.5574769 1 17.8027 0.0620371
58891.4728704 1 17.7607 0.062921
