ZTF18adaifep 0.031000 Ia
58547.2340625 1 19.8361 0.184528
58542.1329282 1 19.7939 0.219325
58534.1703935 1 19.3421 0.357087
58514.20625 1 18.8055 0.0968967
58509.229294 1 18.5174 0.0979082
58495.2706944 1 17.5226 0.0521496
58491.2086343 1 17.309 0.0497367
58487.22875 1 17.2313 0.0376978
58480.2716204 1 17.5854 0.0677445
58476.2818866 1 18.3818 0.147819
