ZTF20aabcnkx 0.097000 Ia-91T
58880.1276852 1 19.5909 0.178096
58879.1298727 1 19.2608 0.231832
58877.1696181 1 19.3014 0.14454
58876.1607755 1 19.2238 0.104827
58876.1607755 1 19.2226 0.105197
58874.1689699 1 19.1951 0.112896
58871.1689468 1 18.9556 0.0910964
58867.2049421 1 18.8858 0.0957027
58862.1470023 1 18.8637 0.0841514
58859.1279167 1 18.9312 0.155206
58853.1117245 1 19.4891 0.209624
58850.1826505 1 19.8027 0.167674
58846.2304051 1 20.734 0.29921
