ZTF18abskoyh 0.025000 II
58433.1050579 2 18.7334 0.133546
58427.0848958 2 18.7279 0.196883
58390.1881944 2 17.9255 0.0687906
58387.1467245 2 17.8758 0.0818279
58384.1887037 2 17.8069 0.0763589
58378.2314005 2 17.5897 0.0584043
58375.168287 2 17.5517 0.0591844
58372.2957292 2 17.4643 0.0460826
58369.1898958 2 17.4119 0.0526791
58366.3175694 2 17.3668 0.044473
58363.2884838 2 17.3562 0.0439228
