ZTF19acchjle 0.070000 Ia-91T
58806.3380324 1 20.1167 0.289429
58790.3364352 1 18.7806 0.139555
58787.3636458 1 18.4987 0.0899167
58784.4166782 1 18.2988 0.100589
58781.3981597 1 18.0244 0.0734602
58775.3845718 1 17.8128 0.068911
58772.3163889 1 17.7842 0.132059
58765.4508218 1 18.088 0.0609097
58759.4178125 1 19.2903 0.112163
58756.4189236 1 20.5003 0.277874
