ZTF19abxtdgh 0.047696 Ia
58875.1008565 2 19.7341 0.144954
58859.2176852 2 19.7391 0.270128
58849.1680787 2 19.8517 0.197272
58836.0954977 2 19.7746 0.185009
58833.3470139 2 19.4335 0.183658
58833.2121991 2 19.5037 0.176528
58831.100544 2 19.6855 0.186834
58830.2500463 2 19.5609 0.205746
58814.1915972 2 19.6468 0.183008
58812.2025116 2 19.7886 0.22132
58812.1906481 2 19.716 0.219403
58805.3432407 2 19.4754 0.152773
58804.2285185 2 19.4399 0.179993
58803.3112384 2 19.3662 0.147974
58797.3304977 2 19.2329 0.21068
58796.2951157 2 19.173 0.206281
58795.294537 2 19.1803 0.134591
58794.3181713 2 19.1353 0.121262
58792.3581134 2 19.2088 0.137631
58791.3385995 2 19.0037 0.115273
58789.2710995 2 18.8445 0.0961786
58782.3259144 2 18.662 0.087816
58779.3160532 2 18.3525 0.0646066
58776.2832986 2 18.137 0.057962
58773.2930324 2 18.0133 0.0643371
58769.3409606 2 18.0929 0.0667424
58763.3583449 2 17.8906 0.0590413
58759.3613079 2 17.6974 0.0529205
58749.3031366 2 17.2597 0.045579
58739.4005671 2 17.8843 0.055468
58733.4069792 2 19.8455 0.135084
