ZTF18aaxokeg 0.033600 II
58658.2052894 1 20.5464 0.211118
58642.196956 1 20.392 0.203244
58639.2391551 1 20.2112 0.163437
58636.2491898 1 19.9864 0.153715
58633.2587963 1 19.6704 0.107139
58622.1703935 1 18.4466 0.119719
58619.2526273 1 18.312 0.107967
58616.2302083 1 18.1578 0.0641099
58606.4036458 1 18.7503 0.0695056
