ZTF18abdcudb 0.087000 Ia
58705.2350579 1 20.69 0.292121
58704.3154398 1 20.4363 0.249195
58703.3199421 1 20.4193 0.183812
58702.3195486 1 20.1143 0.202163
58701.3203935 1 20.0332 0.15737
58700.316875 1 19.9135 0.172311
58699.3203125 1 19.9305 0.12761
58697.3372338 1 19.7128 0.120782
58696.3182407 1 19.6143 0.127552
58695.3170255 1 19.3562 0.119666
58693.2802546 1 19.4111 0.109216
58691.3009028 1 19.1287 0.0927671
58690.2851389 1 19.2373 0.093645
58688.3108565 1 18.9911 0.0808856
58685.3743287 1 18.831 0.101991
58684.2763773 1 18.7317 0.104625
58683.2864815 1 18.7491 0.0934314
58682.1965046 1 18.7052 0.104777
58681.1964815 1 18.7071 0.149012
58680.4544097 1 18.6317 0.109814
58679.3414005 1 18.596 0.0948941
58677.3506944 1 18.5745 0.0917418
58674.3489352 1 18.6455 0.0726969
58668.3078819 1 19.2222 0.087867
58665.2361343 1 20.0428 0.171559
