ZTF19abzzgec 0.080000 Ia
58792.4704282 2 19.9809 0.196039
58788.3422454 2 19.9006 0.179512
58785.4850579 2 19.5872 0.18398
58778.3968056 2 19.2674 0.170558
58775.3586343 2 19.1774 0.121778
58769.4395139 2 19.2191 0.181676
58766.4816204 2 18.8346 0.106218
58763.5000463 2 18.6915 0.0838601
58759.5003009 2 18.6555 0.0619761
58750.4801968 2 19.0121 0.0938116
58747.4617361 2 19.3373 0.187823
