ZTF18acrtvmm 0.023000 II
58509.1911574 1 18.9022 0.1537
58494.1824306 1 18.6661 0.0926241
58493.1906366 1 18.6895 0.0824222
58487.1704514 1 18.5543 0.0751751
58483.1795255 1 18.4609 0.065494
58481.2662384 1 18.3596 0.0781609
58474.1213079 1 18.0789 0.089061
58465.216794 1 17.8397 0.055488
58462.2592361 1 17.7682 0.076125
58450.4149421 1 17.831 0.0883387
