ZTF19aanfyey 0.084900 Ia
58597.2536458 1 20.2966 0.186996
58592.2063889 1 19.595 0.30982
58586.1712037 1 19.0484 0.117517
58585.2013657 1 18.9858 0.116535
58580.2321991 1 18.6818 0.0815899
58580.2051736 1 18.6562 0.104088
58575.2741435 1 18.6094 0.071002
58572.2548495 1 18.7213 0.106505
58567.2535648 1 19.4282 0.127598
