ZTF19aaupkev 0.090000 Ia
58672.1777662 1 20.6531 0.297357
58663.2206597 1 20.4612 0.239852
58660.1968866 1 20.2174 0.180641
58657.2294444 1 20.016 0.167999
58653.2685301 1 19.6667 0.233163
58644.2060417 1 18.9074 0.0949501
58641.227419 1 18.7645 0.0972678
58638.3277083 1 18.5311 0.0763944
58635.2229745 1 18.3912 0.0656004
58632.346794 1 18.2772 0.0637953
58619.2647685 1 18.956 0.163626
58616.283912 1 19.6499 0.174101
58612.3007407 1 21.2134 0.311574
