ZTF19aavnwyt 0.046160 Ia
58673.1854977 1 20.0332 0.254969
58667.2037616 1 19.6803 0.198737
58667.2028472 1 19.7563 0.180802
58654.2358912 1 18.4282 0.0830473
58651.1770833 1 17.9193 0.0718602
58649.1785532 1 17.8711 0.0648614
58648.1774884 1 17.7979 0.0789865
58646.1923611 1 17.7893 0.0950326
58645.2073843 1 17.7314 0.0562563
58643.1747685 1 17.7256 0.0538285
58642.2046412 1 17.7992 0.0740643
58640.2012731 1 17.9258 0.0523508
58639.221169 1 18.0313 0.0845077
58637.220463 1 18.3317 0.0554494
58636.2634491 1 18.4752 0.0695965
58633.2151852 1 19.4183 0.13796
