ZTF19acnqsui 0.080000 Ia
58852.4299884 2 20.4283 0.190493
58851.4351157 2 20.379 0.254389
58850.4488426 2 20.2221 0.372294
58846.2818403 2 20.1461 0.233127
58836.4720833 2 19.7409 0.138271
58833.416331 2 19.5017 0.192974
58827.4233102 2 19.1574 0.17209
58827.2909375 2 19.4682 0.211976
58806.4865625 2 18.5931 0.0959457
58801.4234606 2 18.7584 0.173802
58800.4364699 2 18.4914 0.0877754
58799.4717593 2 18.5232 0.101601
58799.3676389 2 18.499 0.0750214
58798.4372454 2 18.4113 0.0730569
58796.5395023 2 18.5808 0.0964317
58793.519838 2 18.7777 0.0859283
58787.5139815 2 19.9869 0.293214
