ZTF20aappgod 0.076000 Ia
58944.5053704 2 19.5507 0.195675
58936.4385069 2 19.2794 0.1027
58914.5405093 2 18.5285 0.0747932
58911.5210185 2 18.4831 0.112173
58908.4874653 2 18.4593 0.0774082
58908.4874653 2 18.4593 0.077408
58904.538125 2 18.4799 0.107553
58899.5181366 2 18.8775 0.085505
58894.5256944 2 19.7061 0.225727
