ZTF19abidfsb 0.083000 Ia
58735.370625 2 19.9965 0.203678
58720.3909259 2 19.2678 0.127784
58717.3311111 2 19.3929 0.155918
58714.3775 2 19.2525 0.14893
58707.5023843 2 18.89 0.104743
58698.4327894 2 18.9033 0.0796988
58694.3893634 2 19.1012 0.109369
58691.4065741 2 19.434 0.133215
58688.4173495 2 20.0569 0.180441
