ZTF18abrzbyt 0.027660 Ia
58429.5201505 2 20.4708 0.207349
58426.4307986 2 20.4274 0.197558
58397.5021759 2 19.6901 0.156164
58386.4456481 2 19.2662 0.167881
58380.4728588 2 19.1325 0.0876406
58377.4652431 2 19.0744 0.103819
58374.5126852 2 18.9596 0.0981387
58371.4716782 2 18.8395 0.0937085
58368.4696065 2 18.7233 0.0855116
58363.4827431 2 18.5015 0.108684
58360.5140741 2 18.3742 0.0854281
