ZTF19adajqwl 0.070000 Ia
58965.3237616 2 20.2008 0.179076
58964.4058796 2 20.4607 0.227474
58964.2852662 2 20.535 0.279421
58962.3072338 2 20.4908 0.30327
58962.3062731 2 20.5301 0.305751
58961.4068634 2 20.3177 0.319772
58956.3094097 2 20.2456 0.285033
58955.4219444 2 20.4715 0.343702
58944.4023611 2 19.5659 0.214711
58943.4653009 2 19.9831 0.251395
58943.464838 2 19.9967 0.237032
58941.4221759 2 20.0164 0.222411
58941.4024074 2 20.0212 0.264561
58936.4565278 2 19.9701 0.210351
58914.5080903 2 19.4514 0.133452
58914.5066898 2 19.4282 0.14728
58911.4968171 2 19.2957 0.177162
58911.4777546 2 19.369 0.14727
58906.5206481 2 19.0396 0.147142
58906.5049537 2 19.1686 0.150281
58903.498287 2 19.0672 0.098827
58898.4989352 2 18.8534 0.104794
58898.4984838 2 18.9412 0.110609
58893.5238773 2 18.6321 0.109346
58893.5225231 2 18.5462 0.0948456
58890.499294 2 18.3733 0.166381
58890.498831 2 18.4907 0.140662
58887.5360995 2 18.4776 0.0975869
58887.534294 2 18.4629 0.0979422
58884.5576042 2 18.3675 0.0976571
58884.5406944 2 18.4193 0.113564
58881.5452431 2 18.3882 0.083012
58881.5273727 2 18.3043 0.0774049
58878.5609491 2 18.2256 0.0915025
58878.5600116 2 18.2111 0.0910359
58875.5546181 2 18.2469 0.081328
58875.5262037 2 18.2228 0.078747
58872.5605324 2 18.144 0.0975327
58864.5198611 2 17.8468 0.0684115
58859.4978935 2 17.7113 0.0703897
58856.5762847 2 17.7192 0.069077
58856.5662037 2 17.7085 0.061038
58850.5174074 2 17.8174 0.0810703
58850.5081713 2 17.7443 0.0629964
58836.5171991 2 19.343 0.186626
