ZTF19aartuli 0.050000 Ia
58669.1724074 2 19.5542 0.20984
58662.1719329 2 19.2886 0.173125
58654.1707639 2 18.9905 0.150285
58649.2134028 2 18.907 0.159786
58642.2109722 2 18.3723 0.0822797
58638.2105093 2 18.1411 0.060446
58635.231169 2 18.0896 0.0496627
58617.2512153 2 17.3781 0.0445611
58607.2493519 2 17.3982 0.042969
58598.2965046 2 19.0525 0.105216
