ZTF18abgosbg 0.080000 Ia
58336.3414815 2 19.6803 0.173374
58336.3409375 2 19.7547 0.151884
58333.326331 2 19.487 0.165473
58333.3257755 2 19.5427 0.156778
58330.360544 2 19.5088 0.16214
58324.4756134 2 19.1847 0.106997
58324.2396991 2 19.1767 0.154366
58321.2808565 2 18.904 0.0972496
58318.368125 2 18.8318 0.077355
58318.3671296 2 18.9539 0.0998328
58315.3507986 2 18.8175 0.0756421
