ZTF19aaxfcpq 0.038003 Ic-BL
58691.2158102 1 20.5898 0.20569
58672.3120718 1 20.092 0.125056
58666.2493634 1 19.639 0.0936387
58660.201088 1 19.0916 0.0821867
58657.2229745 1 18.7545 0.0687658
58653.3029398 1 18.3296 0.0647862
58650.2181134 1 18.0112 0.0577471
58647.2238079 1 17.8767 0.0535991
58644.221412 1 17.9773 0.0491869
58641.2283449 1 18.439 0.0708195
58638.3418981 1 19.4035 0.106563
