ZTF19abwsecm 0.022000 Ia
58814.2105787 2 19.1494 0.151043
58812.2887731 2 19.0437 0.124009
58801.313125 2 18.9852 0.190211
58793.3600116 2 18.5611 0.0825038
58784.3783102 2 18.21 0.0809818
58778.3797106 2 17.7409 0.067454
58769.4180324 2 17.3726 0.0453901
58766.4875579 2 17.2812 0.0381913
58749.3017824 2 16.5993 0.0319346
58741.4411921 2 16.5664 0.0320313
58738.5020833 2 16.6423 0.0393109
58735.4853472 2 16.8733 0.0292393
58732.4809259 2 17.255 0.0448804
