ZTF19aamqebl 0.090000 Ia
58608.2154861 2 20.3492 0.164435
58601.2603009 2 20.0131 0.136018
58601.2566435 2 20.1704 0.1942
58597.3483912 2 19.76 0.131917
58597.3294907 2 19.8612 0.201934
58597.2446412 2 19.8162 0.132261
58594.1573495 2 19.5802 0.190418
58594.1564468 2 19.5862 0.102187
58593.2829861 2 19.7035 0.290217
58586.2139352 2 19.1828 0.107225
58586.189838 2 19.1959 0.137296
58583.260081 2 19.2067 0.0891827
58583.2591667 2 19.2044 0.110025
58582.2229861 2 19.1802 0.0988547
58580.2282986 2 19.0912 0.103765
58572.2770718 2 18.7219 0.0884101
58572.276169 2 18.8236 0.12216
58567.2338194 2 18.6964 0.079076
58559.2532523 2 19.2816 0.164982
58559.2484259 2 19.3147 0.139413
58558.2074421 2 19.4801 0.181276
