ZTF20aasfhia 0.050000 II
58986.2048727 1 20.8156 0.325377
58986.2043981 1 20.7019 0.217259
58971.2774653 1 20.2098 0.25597
58971.263669 1 20.2363 0.293388
58968.276169 1 20.1783 0.152186
58968.2491898 1 20.1317 0.173921
58954.3008102 1 19.7913 0.147034
58944.431169 1 19.2257 0.235955
58939.3409491 1 19.2567 0.146951
58936.2856134 1 19.1333 0.101272
58915.4508912 1 18.5489 0.0979063
58914.4289005 1 18.6692 0.0910651
58913.3290509 1 18.8621 0.0991298
58912.5084491 1 19.4658 0.111206
