ZTF20aarbget 0.022500 Ia
58986.2221644 1 19.0602 0.106734
58966.2709838 1 18.7574 0.177731
58963.3562269 1 18.6203 0.0968931
58963.2741435 1 18.6654 0.0730714
58956.3592477 1 18.4288 0.139775
58944.4338889 1 17.4785 0.0568652
58937.3892824 1 16.8379 0.0431826
58915.4782755 1 15.9777 0.0277797
58911.437581 1 16.4566 0.0300394
