ZTF20aaertpj 0.026000 Ib
58898.4436921 1 20.6836 0.260283
58893.4997454 1 20.4095 0.295127
58887.4756019 1 20.0142 0.322666
58884.4758565 1 20.0661 0.217075
58881.506875 1 19.8369 0.144241
58878.5264005 1 19.5271 0.169261
58875.4612963 1 19.2545 0.130881
58872.4452546 1 19.0107 0.125263
58863.4538542 1 18.9118 0.136242
58856.5580903 1 19.9046 0.16082
