ZTF18abealop 0.066580 Ia
58344.1847917 2 20.1963 0.20436
58340.1819444 2 19.9827 0.184871
58337.1954398 2 19.8753 0.129031
58337.1949537 2 20.0315 0.174668
58334.1664352 2 20.0396 0.182658
58334.1655093 2 19.9944 0.198984
58331.1813426 2 19.9186 0.134914
58325.2359375 2 19.3612 0.162708
58325.2256366 2 19.572 0.186097
58322.2410648 2 19.3789 0.120676
58322.2359375 2 19.3634 0.129492
58319.2434491 2 19.2047 0.172948
58319.2176968 2 19.3178 0.130454
58314.2020949 2 19.2403 0.127123
58314.1798264 2 19.297 0.0841553
58311.2180208 2 19.4279 0.117801
58311.2022917 2 19.3018 0.0920726
58308.2454514 2 19.6767 0.128024
58308.2421644 2 19.5154 0.125483
