ZTF19aaqdkrm 0.034000 II
58670.1777431 2 19.5675 0.147076
58667.2156134 2 19.4533 0.110174
58663.1985417 2 19.1742 0.118485
58660.2213542 2 19.0492 0.072457
58657.2693634 2 18.8883 0.100486
58654.1957755 2 18.8417 0.0817499
58651.2485417 2 18.895 0.119472
58648.2134375 2 18.6932 0.106814
58645.2789815 2 18.6874 0.0853849
58642.2337847 2 18.6584 0.088179
58636.2220949 2 18.6084 0.101409
58633.190463 2 18.5501 0.0688911
58628.2896528 2 18.6074 0.085109
58618.2227662 2 18.439 0.104713
58616.1707407 2 18.3848 0.0796472
58612.2460185 2 18.3419 0.0778645
58608.2638657 2 18.3061 0.0677283
58606.2500463 2 18.2944 0.0667326
58602.2673611 2 18.3206 0.0887532
58600.2797222 2 18.1761 0.0585607
58596.2610069 2 18.0647 0.0757031
58593.3025231 2 18.0394 0.0729378
58589.2982523 2 17.9814 0.189883
58589.2343866 2 18.1717 0.085274
58586.3168866 2 18.5947 0.0815586
