ZTF19abetjcx 0.058000 Ia
58698.1730093 2 19.2924 0.162636
58695.2262269 2 19.048 0.13231
58692.1720833 2 18.925 0.148824
58689.1715856 2 18.8778 0.0892414
58685.1647801 2 18.6668 0.104998
58678.1907523 2 18.3628 0.111198
58675.2314699 2 18.5456 0.115436
58672.2075231 2 18.6462 0.10642
58665.2538079 2 20.5594 0.364266
