ZTF19abornyn 0.060000 Ia
58741.1297454 1 19.7814 0.225976
58738.133206 1 19.7327 0.242525
58735.1293519 1 19.4361 0.16644
58732.1475231 1 19.3271 0.140042
58726.150787 1 18.6406 0.0864353
58723.1858796 1 18.4225 0.0668966
58716.1845486 1 18.2066 0.0742423
58710.1491319 1 18.6625 0.143183
58707.2687153 1 19.0939 0.159292
