ZTF18aaaqexr 0.070200 Ia
58905.3101273 1 19.3437 0.164997
58904.2962153 1 19.2848 0.126069
58903.3348727 1 19.2427 0.109225
58900.3300463 1 18.9478 0.11487
58899.3790162 1 18.9181 0.109482
58898.3809838 1 18.7553 0.08086
58894.3537037 1 18.7274 0.0980689
58891.4208796 1 18.4475 0.145154
58886.439456 1 19.1339 0.15199
