ZTF19aakozyp 0.043000 Ia
58639.2331134 1 20.6323 0.25484
58633.2560185 1 20.4742 0.212527
58612.2752315 1 20.208 0.172632
58606.3990509 1 20.2113 0.222512
58597.2911111 1 19.9936 0.155762
58584.2874884 1 19.5114 0.175442
58580.4001042 1 19.1143 0.149079
58575.3529167 1 18.8047 0.206214
58572.3784606 1 18.5717 0.10209
58560.2889236 1 17.4887 0.0624897
58556.4416667 1 17.3359 0.0536467
58547.356956 1 17.3356 0.0499179
58547.356956 1 17.3356 0.049918
58541.4191319 1 18.0944 0.0813262
