ZTF18acdwazf 0.033320 Ia
58546.3110069 2 20.3794 0.194917
58543.3409491 2 20.4358 0.277754
58540.2708681 2 20.2915 0.163167
58522.533912 2 19.8414 0.16106
58514.4242014 2 19.4799 0.205627
58508.4943866 2 19.3462 0.167448
58502.5488194 2 19.2493 0.131934
58491.5416782 2 18.8492 0.0913711
58486.5065741 2 18.6948 0.0803352
58480.5454167 2 18.4242 0.095335
58476.5253935 2 18.3228 0.0827774
58471.5490972 2 17.9865 0.0601907
58464.5505208 2 17.6274 0.048511
58461.5480671 2 17.5392 0.0423452
58447.4918866 2 17.2095 0.0592466
58443.4757523 2 16.9187 0.0363793
58440.5477894 2 16.7101 0.0355683
