ZTF18abnvoel 0.060000 Ia
58385.2219329 2 19.0775 0.127606
58382.1359606 2 19.1461 0.113351
58379.2340741 2 18.932 0.0873292
58373.3007407 2 18.6903 0.113559
58370.2686806 2 18.5045 0.085805
58367.3287153 2 18.3668 0.0633758
58364.3156713 2 18.3463 0.0602396
58361.2827778 2 18.3337 0.0655695
58358.2179051 2 18.3876 0.0821069
58355.2856134 2 18.4758 0.0846407
58352.2848958 2 18.8751 0.099868
58349.3040625 2 19.5087 0.109355
