ZTF18aadzfso 0.050000 Ia
58909.1848958 1 19.7066 0.288346
58906.2640509 1 19.776 0.24463
58903.2392477 1 19.4769 0.156724
58899.2281019 1 19.1321 0.132719
58898.237037 1 18.9715 0.107279
58898.2046759 1 19.051 0.106774
58895.159456 1 18.7861 0.109621
58890.3081481 1 18.4768 0.0884735
58881.163287 1 18.8429 0.112295
58878.2253588 1 19.3744 0.21213
58876.1856713 1 19.8482 0.156745
58876.1856713 1 19.8409 0.155414
