ZTF18aahtjsc 0.052900 Ia
58587.2291551 1 19.038 0.136172
58587.2272917 1 19.1024 0.145826
58587.2193171 1 18.857 0.111175
58585.1957986 1 18.8488 0.0971102
58585.1953241 1 18.8842 0.101651
58582.1437616 1 18.7134 0.159133
58580.2489583 1 18.5815 0.0771104
58580.2470833 1 18.5554 0.0818211
58580.2371412 1 18.5808 0.0774883
58575.2781481 1 18.4635 0.0531785
58572.2706597 1 18.5197 0.0992966
58567.2692014 1 19.0295 0.120584
