ZTF20aaqhtcd 0.060000 Ia
58941.4255093 2 19.4432 0.1427
58939.3923958 2 19.1246 0.302772
58936.4294907 2 19.2401 0.139109
58915.5087269 2 18.3775 0.0688736
58914.5113889 2 18.468 0.0970756
58913.4993287 2 18.5339 0.110286
58912.4659491 2 18.5102 0.0995454
58911.4670023 2 18.5893 0.112124
58908.4695139 2 18.8253 0.091343
58906.4677431 2 18.8653 0.110954
58904.4839468 2 19.2326 0.170345
58903.4523032 2 19.6038 0.190137
58901.4308333 2 20.2661 0.278007
