ZTF19abdkecj 0.073000 Ia
58706.4998032 2 19.9311 0.17538
58703.4571991 2 19.7122 0.108755
58699.4833449 2 19.4463 0.0979585
58696.4826852 2 19.2411 0.0930042
58693.4828819 2 19.1366 0.104328
58685.441412 2 18.8627 0.0878055
58682.4219792 2 18.8715 0.105068
58679.4686227 2 18.6936 0.0859208
58676.4635185 2 18.5859 0.065112
58670.4775694 2 18.3409 0.0546655
58667.4790625 2 18.264 0.0768423
