ZTF18aaizerg 0.068500 Ia
58875.4945602 1 20.4878 0.216049
58863.4515625 1 19.2909 0.198222
58863.4268519 1 19.1201 0.139656
58856.5571875 1 18.6259 0.0791737
58856.556713 1 18.6441 0.0691557
58853.528831 1 18.4699 0.0504639
58853.5283565 1 18.4731 0.0851641
58850.5498611 1 18.5527 0.0823925
58850.5493866 1 18.5163 0.0893967
58846.5554167 1 18.7391 0.0747478
