ZTF18acbwasl 0.100000 Ia
58450.5264236 2 19.8902 0.180877
58447.5352199 2 19.4369 0.195781
58447.466169 2 19.7332 0.167923
58441.5260185 2 19.6645 0.156722
58438.5352083 2 19.4689 0.136112
58432.5342014 2 19.1344 0.11347
58429.5339352 2 19.1131 0.113726
58426.5244213 2 19.0604 0.103091
58423.541412 2 18.8825 0.0890232
