ZTF19acymzwh 0.033000 Ia
58936.4698148 1 20.5373 0.212928
58914.4999884 1 20.2705 0.187093
58911.5515278 1 20.0532 0.259307
58911.425625 1 20.2385 0.205261
58906.538125 1 20.1037 0.26408
58903.5409144 1 19.994 0.161808
58898.4558102 1 20.0232 0.133651
58893.4974421 1 19.7034 0.17827
58887.4680903 1 19.8245 0.226849
58884.4754051 1 19.8471 0.18177
58881.4944907 1 19.8017 0.166333
58878.5278009 1 19.6398 0.141236
58875.4954745 1 19.5558 0.11814
58872.447963 1 19.5143 0.174162
58863.4534028 1 18.9227 0.124535
58856.5576389 1 18.4206 0.0620325
58853.5274421 1 18.1131 0.058935
58850.5489352 1 17.8376 0.0518546
58846.5530556 1 17.4441 0.0428172
58838.493125 1 16.9544 0.117697
58831.5698032 1 17.0057 0.0643602
