ZTF20aammbrw 0.062970 Ia
58915.3753704 2 18.9934 0.173393
58912.4000116 2 18.7249 0.124288
58904.2496991 2 18.3966 0.087907
58901.3769676 2 18.161 0.0740508
58898.3553125 2 18.1445 0.073081
58898.3349306 2 18.2577 0.081414
58895.4239468 2 18.2473 0.0976831
58895.4234838 2 18.2217 0.0673068
58892.3146065 2 18.3743 0.101878
58892.3117361 2 18.3774 0.115522
58888.4195139 2 18.8272 0.210296
58885.4864352 2 19.5528 0.303389
