ZTF19aaleptm 0.079000 Ia
58596.2813079 2 20.2838 0.198471
58586.34125 2 19.9223 0.154801
58583.3378472 2 19.6116 0.163241
58580.3830324 2 19.6265 0.123942
58575.403588 2 19.3358 0.106438
58572.4246644 2 19.2944 0.0940659
58567.3859606 2 19.1592 0.115975
58560.3883333 2 18.838 0.112005
58556.4270949 2 18.7222 0.0729808
58547.4931134 2 18.9868 0.0887382
58541.4911227 2 20.234 0.179599
