ZTF18acmvcme 0.033200 Ia-91T
58723.2827083 2 19.4314 0.129774
58638.4656134 2 18.5827 0.112643
58635.3898843 2 18.2747 0.0678483
58632.4659375 2 18.0691 0.0702401
58627.4027199 2 17.9444 0.0908594
58619.4330556 2 17.2988 0.0789382
58618.281875 2 17.2419 0.0437083
58616.4280787 2 17.2289 0.0450379
58608.4739236 2 17.7386 0.0679928
