ZTF19acjuomg 0.106000 Ia
58812.0968287 2 19.844 0.19573
58805.0831481 2 19.4499 0.186622
58797.0928125 2 19.0999 0.155381
58796.1005903 2 19.0687 0.147379
58795.102338 2 19.17 0.121521
58794.0988773 2 19.1373 0.129936
58793.0891204 2 19.1803 0.130875
58792.1188542 2 19.2136 0.133936
58791.093831 2 19.2171 0.116669
58788.1420833 2 19.3734 0.16193
58787.1411921 2 19.4294 0.188064
58786.1488426 2 19.6656 0.169968
58785.1419329 2 19.7554 0.26098
58783.1422917 2 20.3133 0.281304
