ZTF18abscyji 0.030000 II
58464.5280556 2 20.5179 0.178558
58428.4978935 2 19.932 0.142777
58388.5183681 2 18.7061 0.0722057
58385.5272222 2 18.6057 0.0846101
58382.5243403 2 18.6162 0.0584261
58379.5189699 2 18.5097 0.0826208
58376.5180903 2 18.463 0.073889
58373.4859028 2 18.4863 0.0657972
58370.5051736 2 18.4395 0.0627577
58367.5072222 2 18.4373 0.0601257
58364.5081597 2 18.4301 0.0745348
58361.5145833 2 18.2814 0.104392
