ZTF19abqsvgf 0.053654 Ia
58761.1396759 2 18.9518 0.0841448
58754.1350231 2 18.7479 0.0908228
58754.1345602 2 18.7215 0.072874
58751.1401736 2 18.6937 0.0880909
58749.2640741 2 18.63 0.069101
58740.2685301 2 18.338 0.111059
58733.2358565 2 18.0168 0.0724899
58733.2281481 2 17.9768 0.0536072
58730.163125 2 17.9626 0.0600575
58730.1580324 2 18.0168 0.0442778
58720.3320833 2 18.929 0.111246
58719.3198148 2 18.9342 0.0927274
58717.3125116 2 19.5188 0.14535
