ZTF19aaripqw 0.041310 Ia
58662.2051505 1 19.9539 0.262593
58654.2354398 1 19.7184 0.279794
58643.1715856 1 19.2398 0.164933
58640.1775347 1 19.0076 0.11851
58637.2209144 1 18.7799 0.108924
58634.2085532 1 18.5545 0.0879291
58622.1610648 1 17.4623 0.072929
58619.2201968 1 17.2797 0.0619236
58612.1862037 1 16.929 0.0455355
58608.1969676 1 16.9696 0.0409085
58605.2173611 1 17.1539 0.038271
58602.2119444 1 17.6949 0.26395
58601.2498727 1 17.7819 0.0404535
58596.2075347 1 19.6078 0.118447
