ZTF19abrogbl 0.035800 Ia
58763.4190972 1 20.188 0.258624
58763.4177431 1 20.4415 0.245013
58760.4221875 1 20.0826 0.213706
58759.4187269 1 20.0606 0.146809
58758.4413542 1 19.9376 0.211712
58756.422581 1 19.9479 0.169202
58756.4198264 1 19.7888 0.128087
58750.4584491 1 19.1755 0.134657
58750.4399306 1 19.2406 0.155814
58750.3972106 1 19.1364 0.130413
58749.3980324 1 19.056 0.132926
58747.485706 1 18.8335 0.092467
58747.4843519 1 18.9239 0.136178
58744.4816782 1 18.4644 0.130132
58743.4485995 1 18.3309 0.13796
58741.5235648 1 18.2087 0.116353
58738.4798495 1 17.8137 0.084996
58738.4426157 1 17.8279 0.0594407
58735.4426736 1 17.6501 0.056369
58735.4422222 1 17.5975 0.047732
58734.4753356 1 17.5565 0.0452665
58732.4394329 1 17.4912 0.0486494
58732.437037 1 17.4422 0.0553725
58725.4627083 1 17.6164 0.0403133
58725.4622569 1 17.632 0.054354
58723.4963889 1 17.9345 0.0614182
58722.4618866 1 18.116 0.0567262
58722.4401968 1 18.0934 0.0601908
58719.4987731 1 19.0196 0.131984
58719.4983218 1 18.9809 0.150704
