ZTF20aamaqak 0.072600 Ia
58915.2488194 1 19.6057 0.236666
58913.3126852 1 19.5358 0.125589
58912.2896296 1 19.4107 0.134896
58911.4016898 1 19.2925 0.104859
58909.2842824 1 19.1305 0.227695
58906.3092824 1 18.8842 0.095999
58905.3083102 1 18.7541 0.113777
58904.2971181 1 18.7115 0.078883
58903.3196875 1 18.6364 0.0656744
58903.3134954 1 18.6632 0.0871321
58900.3295949 1 18.4323 0.076378
58899.4216667 1 18.4058 0.064628
58898.3956829 1 18.3485 0.062185
58894.3193171 1 18.2774 0.0716086
58891.421331 1 18.3873 0.0971386
58886.4621181 1 18.9941 0.13822
