ZTF19abfvpkq 0.050000 Ia
58735.4918056 2 20.1814 0.194368
58732.4855208 2 20.1475 0.154901
58727.4999769 2 19.9777 0.183008
58724.4864931 2 20.0122 0.162814
58714.4469213 2 19.5947 0.204836
58711.4319213 2 19.3232 0.169232
58707.4852778 2 19.1382 0.124415
58704.4951968 2 18.9996 0.124212
58698.4963194 2 18.8077 0.118537
58695.4830671 2 18.755 0.0877056
58692.4932755 2 18.6632 0.0971274
58681.4533796 2 18.1039 0.0923658
