ZTF20aafrjqw 0.088227 Ia
58905.2733449 1 20.2682 0.254134
58904.2747917 1 20.6086 0.288644
58900.3319213 1 20.321 0.210889
58899.3817824 1 20.0624 0.183128
58898.2887963 1 20.0778 0.192753
58894.310544 1 19.8861 0.194634
58886.4218056 1 18.9303 0.149835
58883.4401273 1 18.81 0.105758
58880.4420949 1 18.5837 0.0870174
58877.3732986 1 18.4286 0.103665
58866.3992361 1 18.3997 0.0608012
58855.4829514 1 20.3726 0.24265
