ZTF18abdpvnd 0.046000 Ia
58400.1884375 2 19.9046 0.158915
58388.2691898 2 19.3975 0.114307
58388.2655787 2 19.4316 0.147509
58385.2568403 2 19.0394 0.140533
58385.2422222 2 19.2896 0.173247
58382.3039931 2 19.0827 0.094647
58382.2965856 2 19.2082 0.126298
58379.3099537 2 19.0561 0.103341
58379.2976042 2 19.0325 0.0870197
58376.365 2 18.9659 0.0880491
58376.3416319 2 18.9794 0.0594361
58373.2906366 2 18.8705 0.0919999
58370.3034259 2 18.6776 0.0763872
58370.2907639 2 18.7786 0.0741731
58367.3483449 2 18.6347 0.0647591
58364.3118171 2 18.5279 0.0614097
58364.3091319 2 18.4673 0.0805012
58361.309213 2 18.4306 0.0641222
58361.3058912 2 18.3834 0.0808772
58358.4037616 2 18.2815 0.07994
58358.4018056 2 18.2932 0.0781383
58355.4484375 2 18.1436 0.064013
58355.4365394 2 18.2744 0.0577372
58355.34625 2 18.2486 0.0626653
58355.343912 2 18.2387 0.0816337
58352.3286458 2 18.1105 0.0568023
58352.3277083 2 18.0766 0.0660857
58349.3319792 2 18.0197 0.0485561
58349.3295486 2 18.0122 0.0767627
58346.3970255 2 17.8883 0.0692233
58346.3796296 2 17.8776 0.0476195
58343.3709028 2 17.7582 0.0725643
58343.3499769 2 17.7941 0.0598947
58340.3919907 2 17.6651 0.0592514
58340.3910532 2 17.649 0.0718784
58337.3506713 2 17.5975 0.042138
58337.3497338 2 17.5633 0.0426363
58334.3657292 2 17.5041 0.0538356
58334.3642824 2 17.4981 0.0576935
58328.4106829 2 17.4669 0.0543708
58328.4101736 2 17.3994 0.0633511
58325.4963194 2 17.3552 0.0499344
58322.4141782 2 17.3707 0.0414635
58322.4104051 2 17.347 0.0446508
58319.4484028 2 17.3684 0.0520969
58319.445544 2 17.3767 0.0336178
58316.4566667 2 17.4232 0.0477457
58316.4547685 2 17.4418 0.0589849
58313.4067824 2 17.5444 0.075341
58313.4049074 2 17.5644 0.0472803
58310.4348264 2 17.7928 0.0709212
