ZTF19acojuzv 0.040000 Ia
58900.2166319 2 20.1873 0.171332
58898.1520602 2 20.3436 0.223727
58882.159294 2 19.8497 0.217225
58878.1848843 2 19.8858 0.259289
58874.2497338 2 19.6802 0.17101
58873.1943403 2 19.6035 0.148074
58867.2605556 2 19.4888 0.130191
58864.2225231 2 19.3476 0.116588
58862.3061227 2 19.2553 0.136145
58862.2143287 2 19.2265 0.122406
58861.1333681 2 19.5218 0.297864
58860.2420255 2 19.2747 0.181222
58859.2530208 2 19.3591 0.191072
58854.4464931 2 19.0517 0.144037
58854.1766551 2 18.9781 0.264563
58851.4314005 2 18.8967 0.109181
58850.4709028 2 19.0407 0.136576
58846.2902546 2 18.7986 0.0851507
58836.468044 2 18.1916 0.0588044
58833.4013889 2 18.0952 0.0719372
58833.3101157 2 18.019 0.0928339
58830.3270949 2 18.0515 0.06568
58828.2451042 2 18.0532 0.0888772
58827.2782176 2 17.9874 0.0675253
58819.5180903 2 17.6595 0.170188
58806.5049421 2 17.2511 0.0379565
58804.5322106 2 17.2547 0.0489528
58801.5347338 2 17.3794 0.192758
58801.4275231 2 17.4069 0.0753238
58799.3708449 2 17.5579 0.0573509
58794.5395486 2 18.2841 0.076922
58791.5076968 2 19.2307 0.123255
58791.4940741 2 19.0822 0.0999861
