ZTF20aaghlkv 0.020000 Ia
58986.2560648 2 19.7247 0.133376
58980.2526042 2 19.4966 0.113047
58978.2891551 2 19.2958 0.173855
58974.2524421 2 19.1603 0.211623
58971.2172338 2 19.1696 0.154028
58968.373588 2 19.1349 0.107009
58965.2894329 2 19.0626 0.0948467
58964.290544 2 18.9423 0.0851781
58962.2771296 2 18.9432 0.122229
58955.2636806 2 18.7292 0.0930327
58954.2637616 2 18.636 0.085515
58944.3932176 2 18.3725 0.0865134
58941.406088 2 18.2801 0.0713901
58940.4046065 2 18.2101 0.0957313
58939.3868403 2 18.2154 0.0850955
58936.4114931 2 18.1037 0.0801146
58914.4067477 2 17.1722 0.0443554
58911.4632755 2 16.8947 0.0490239
58906.4436343 2 16.7493 0.044414
58903.4176273 2 16.6932 0.051658
58898.4616088 2 16.6083 0.054365
58894.4999537 2 16.4468 0.0474161
58894.4636574 2 16.4608 0.0392127
58891.4968056 2 16.2339 0.0479481
58887.4836458 2 15.9486 0.0456387
58884.5176042 2 15.8804 0.023669
58881.5391204 2 15.8617 0.0364942
58878.5462384 2 15.9547 0.0266191
58875.5415509 2 16.1371 0.03161
58867.483831 2 18.143 0.0796512
