ZTF20aadxvfj 0.095000 Ia
58898.4199421 1 20.8824 0.276404
58895.4146412 1 20.7897 0.335323
58892.3569097 1 19.8904 0.301996
58884.4418519 1 19.9667 0.216736
58881.4610069 1 19.6076 0.139281
58878.4870023 1 19.3839 0.130498
58875.4574421 1 19.191 0.118231
58856.5412963 1 19.3246 0.138358
58853.5046759 1 19.8169 0.132469
58850.5411458 1 20.6434 0.279094
