ZTF19abpmetl 0.068000 Ia
58745.2054861 1 20.3969 0.251414
58743.1261574 1 20.3348 0.325224
58733.301412 1 19.3764 0.154484
58733.3009606 1 19.322 0.146298
58726.2440972 1 18.876 0.107115
58725.1902894 1 18.7436 0.101353
58723.2614699 1 18.7691 0.0833768
58720.2635648 1 18.649 0.0958299
58717.2430787 1 18.7138 0.0963562
58716.2608218 1 18.6999 0.107934
58714.2337616 1 18.954 0.100812
58709.2439699 1 19.3952 0.22114
