ZTF19abdkgns 0.086100 Ia
58730.4250116 2 20.3377 0.20583
58727.4862963 2 20.1116 0.187144
58724.414375 2 20.0762 0.170232
58721.4568519 2 19.8057 0.23768
58718.4654282 2 19.5913 0.16004
58715.4424421 2 19.7592 0.171047
58712.4358796 2 19.7003 0.192963
58709.402419 2 19.3505 0.125756
58706.4947454 2 19.3649 0.0988119
58703.4526736 2 19.3663 0.122668
58700.4533449 2 19.1208 0.0875751
58697.4333449 2 19.0856 0.085598
58694.4107639 2 18.9235 0.0689307
58691.4245718 2 18.7363 0.0781192
58688.4337153 2 18.6883 0.0939576
58685.4486574 2 18.6201 0.0728779
58682.4273958 2 18.52 0.1035
58679.4719213 2 18.5259 0.0662393
58676.4660417 2 18.6089 0.0655934
58673.4511806 2 18.8915 0.0791853
58670.4739468 2 19.1268 0.10813
58667.476331 2 19.576 0.1759
