ZTF18abmmkaz 0.065000 Ia
58389.112419 2 19.3935 0.118802
58383.1314468 2 19.1144 0.118296
58377.1743287 2 18.9686 0.0914327
58374.1864468 2 18.8688 0.0722423
58371.1861458 2 18.7975 0.0723261
58368.1737269 2 18.6716 0.0835668
58365.1758796 2 18.4873 0.0583046
58362.1716667 2 18.3739 0.0581906
58359.2329398 2 18.209 0.140499
58356.2316898 2 18.1952 0.0728238
58349.2531019 2 18.3527 0.0854811
58343.3246644 2 19.1467 0.118822
