ZTF20aawoojh 0.050000 Ia
58986.4002083 1 19.7057 0.122502
58985.4352778 1 19.4791 0.106658
58980.4212269 1 19.0545 0.116973
58979.2749884 1 18.9014 0.133495
58978.390544 1 18.6928 0.140757
58976.4659028 1 18.8303 0.129018
58975.2993056 1 18.738 0.126041
58974.4964352 1 18.7678 0.114622
58973.4722801 1 18.8236 0.070084
58972.4696296 1 18.9144 0.0906368
58971.4545023 1 18.9499 0.0989351
58970.4572801 1 19.0936 0.0823038
58968.4491319 1 19.4649 0.131957
58967.4510532 1 19.7192 0.125449
58966.4426736 1 19.9813 0.13502
58965.4250579 1 20.2235 0.184419
58964.3935995 1 20.5097 0.229659
58963.4558449 1 20.7702 0.28393
58963.4135764 1 21.0137 0.325321
