ZTF18aaybfsd 0.040000 Ia
58985.3015509 1 20.2074 0.206384
58981.3079282 1 20.4144 0.237834
58964.3537616 1 20.1547 0.169711
58962.3519676 1 20.2854 0.208784
58956.3669213 1 20.0902 0.195139
58955.4115972 1 19.9294 0.171612
58955.4065972 1 20.1222 0.182522
58954.3928819 1 19.9871 0.169675
58944.4998148 1 19.8592 0.195449
58943.4250116 1 19.6422 0.230272
58941.4729514 1 19.6599 0.144375
58940.4770023 1 19.7006 0.149429
58936.4739699 1 19.6611 0.134674
58917.3933912 1 17.988 0.174406
58914.4981597 1 17.7246 0.0486288
58914.4958565 1 17.8067 0.052563
58911.5519907 1 17.5038 0.051447
58911.5267245 1 17.5771 0.0555404
58911.4270255 1 17.5412 0.0454774
58906.5348727 1 17.183 0.041415
58903.5395255 1 17.0913 0.037301
58903.5363194 1 17.1237 0.04205
58893.4979051 1 17.2586 0.0394719
58890.5668981 1 17.7385 0.0938059
58890.5491204 1 17.695 0.0801738
58890.5224421 1 17.7308 0.073525
58887.4541204 1 18.6683 0.114656
