ZTF19aawafvn 0.074000 Ia
58685.1927315 1 20.7889 0.183085
58673.1762731 1 19.7194 0.143413
58666.2083681 1 19.0741 0.0521239
58663.2173611 1 18.779 0.0434455
58660.1926042 1 18.5094 0.031368
58657.1945602 1 18.3558 0.0409894
58653.2689931 1 18.0589 0.0443098
58644.1902894 1 18.1302 0.0359829
58641.1922917 1 18.4136 0.0435206
58638.3213657 1 18.8268 0.0554651
